,ticker,initialCapital,endCapital,delta
82,AGRI-WTU.TO,1000,1000,0
83,AGX.V,1000,503.3150008022785,-496.6849991977215
84,AH.TO,1000,993.132500141859,-6.867499858140945
85,AHR.V,1000,952.9300000723451,-47.06999992765486
86,AI-DBF.TO,1000,1000,0
87,AI-DBG.TO,1000,1000,0
88,AI.TO,1000,389.83999824523926,-610.1600017547607
89,AIF.TO,1000,19.165002703666687,-980.8349972963333
90,AII.TO,1000,952.169999666512,-47.83000033348799
91,AIM-PA.TO,1000,1.2899990081787145,-998.7100009918213
92,AIM-PC.TO,1000,410.9999985694885,-589.0000014305115
93,AIM.TO,1000,146.18999975919724,-853.8100002408028
94,AIML.CN,1000,939.2299997135997,-60.77000028640032
95,AION.CN,1000,998.3250000001863,-1.6749999998137355
96,AIP-U.V,1000,1000,0
97,AIR.V,1000,995.6149999722838,-4.38500002771616
98,AIS.V,1000,989.8950000461191,-10.104999953880906
99,AIV-P.V,1000,999.8299999982119,-0.17000000178813934
