,ticker,initialCapital,endCapital,delta
84,AH.TO,1000,988.3775002807379,-11.622499719262123
85,AHR.V,1000,948.4250001348555,-51.57499986514449
86,AI-DBF.TO,1000,1000,0
87,AI-DBG.TO,1000,1000,0
88,AI.TO,1000,15.969995498657227,-984.0300045013428
89,AIF.TO,1000,41.71499967575073,-958.2850003242493
90,AII.TO,1000,940.0299994796515,-59.97000052034855
91,AIM-PA.TO,1000,2.619992256164565,-997.3800077438354
92,AIM-PC.TO,1000,152.58999490737915,-847.4100050926208
93,AIM.TO,1000,1.5899949073791504,-998.4100050926208
94,AIML.CN,1000,927.979999255389,-72.02000074461102
95,AION.CN,1000,997.8374999938533,-2.162500006146729
96,AIP-U.V,1000,1000,0
97,AIR.V,1000,995.5649998933077,-4.435000106692314
98,AIS.V,1000,996.5550003685057,-3.4449996314942837
99,AIV-P.V,1000,999.8299999982119,-0.17000000178813934
